LastLoginDate,CustomerClass,NoRekCustomer ,CustomerName,Country,City,Region,Umur,Category,TipeProduct,TransPerMonth, Balance ,SalaryPerMonth,Kids,Houses,Vehicles
11/11/2011,Standard Class,OFF-ST-10004186,Pete Kriz,indonesia,Bali,Region B,42,menikah,Mandiri Consumer Loan,18," 788,756,033 ",62068055,3,0,1
9/14/2011,Standard Class,OFF-ST-10001809,Astrea Jones,indonesia,Banda Aceh,Region A,64,single,Mandiri Consumer Loan,41," 430,008,968 ",162088023,0,1,1
9/14/2011,Standard Class,OFF-EN-10003845,Astrea Jones,indonesia,Banda Aceh,Region A,56,single,Mandiri Deposit,57," 392,552,792 ",60547863,3,0,0
8/25/2011,Gold Class,OFF-FA-10000621,Ryan Crowe,indonesia,Medan,Region A,27,single,Mandiri Credit Card,38," 779,285,659 ",141542915,0,1,2
8/25/2011,Gold Class,OFF-EN-10002600,Ryan Crowe,indonesia,Medan,Region A,44,single,Mandiri Deposit,157," 891,184,655 ",96776938,2,0,1
8/25/2011,Gold Class,OFF-PA-10004965,Ryan Crowe,indonesia,Medan,Region A,32,single,Mandiri Deposit,105," 275,289,846 ",24462333,2,0,1
8/25/2011,Gold Class,OFF-EN-10002504,Ryan Crowe,indonesia,Medan,Region A,48,single,Mandiri Deposit,3," 623,811,706 ",122697894,3,1,0
6/9/2011,Standard Class,OFF-AR-10002833,Brosina Hoffman,indonesia,Balikpapan,Region C,53,menikah,Mandiri Deposit,59," 888,253,276 ",64666924,2,1,1
6/9/2011,Standard Class,TEC-PH-10002275,Brosina Hoffman,indonesia,Balikpapan,Region C,49,menikah,Mandiri Deposit,165," 554,916,657 ",112535413,2,1,0
6/9/2011,Standard Class,OFF-BI-10003910,Brosina Hoffman,indonesia,Balikpapan,Region C,74,menikah,Mandiri Deposit,198," 9,685,040 ",124115496,0,1,2
6/9/2011,Standard Class,OFF-AP-10002892,Brosina Hoffman,indonesia,Balikpapan,Region C,53,menikah,Mandiri Deposit,48," 345,411,485 ",133470927,1,0,2
6/9/2011,Standard Class,TEC-PH-10002033,Brosina Hoffman,indonesia,Balikpapan,Region C,33,menikah,Mandiri Deposit,82," 525,286,876 ",109006579,2,1,2
11/24/2011,Platinum Class,OFF-AR-10004757,Nathan Gelder,indonesia,Pekanbaru,Region A,58,single,Mandiri Deposit,175," 144,957,598 ",36460600,0,1,2
8/5/2011,Standard Class,OFF-PA-10000659,Chad Sievert,indonesia,Balikpapan,Region C,30,menikah,Mandiri Deposit,115," 479,509,892 ",190732431,2,1,1
8/5/2011,Standard Class,OFF-PA-10001144,Chad Sievert,indonesia,Balikpapan,Region C,32,menikah,Mandiri Deposit,52," 777,518,109 ",83983595,2,0,1
9/24/2011,Standard Class,OFF-ST-10001713,Julia Dunbar,indonesia,Balikpapan,Region C,34,menikah,Mandiri Consumer Loan,25," 612,435,632 ",175150681,2,0,0
7/22/2011,Standard Class,OFF-AR-10002053,Erin Mull,indonesia,Padang,Region A,66,single,Mandiri Deposit,2," 999,705,308 ",59093992,1,0,2
7/22/2011,Standard Class,TEC-AC-10002567,Erin Mull,indonesia,Padang,Region A,70,single,Mandiri Deposit,155," 902,630,128 ",83706085,0,0,0
8/3/2011,Platinum Class,OFF-AP-10003622,Bruce Stewart,indonesia,Pontianak,Region C,76,menikah,Mandiri Deposit,193," 404,110,692 ",74265572,3,0,0
10/6/2011,Standard Class,TEC-AC-10001445,Xylona Preis,indonesia,Balikpapan,Region C,73,menikah,Mandiri Deposit,57," 985,935,633 ",45619308,2,1,1
10/12/2011,Standard Class,OFF-AR-10002053,Duane Noonan,indonesia,Balikpapan,Region C,70,menikah,Mandiri Deposit,189," 861,510,680 ",184473255,2,0,1
10/12/2011,Standard Class,OFF-ST-10002370,Duane Noonan,indonesia,Balikpapan,Region C,58,menikah,Mandiri Consumer Loan,93," 311,068,338 ",169465341,3,0,0
9/8/2011,Standard Class,OFF-AR-10004441,Becky Martin,indonesia,jakarta,Region B,50,menikah,Mandiri Deposit,26," 153,169,069 ",129454297,3,1,2
9/8/2011,Standard Class,TEC-MA-10000822,Becky Martin,indonesia,jakarta,Region B,41,menikah,Mandiri Saving,179," 689,077,041 ",83856065,3,0,1
9/8/2011,Standard Class,OFF-ST-10000991,Becky Martin,indonesia,jakarta,Region B,79,menikah,Mandiri Consumer Loan,105," 607,233,537 ",124891719,1,1,1
9/8/2011,Standard Class,FUR-CH-10004287,Becky Martin,indonesia,jakarta,Region B,49,single,Mandiri Deposit,80," 450,564,686 ",63484441,2,0,1
9/8/2011,Standard Class,OFF-AR-10002656,Becky Martin,indonesia,jakarta,Region B,48,menikah,Mandiri Deposit,127," 780,555,104 ",32983180,3,0,2
9/8/2011,Standard Class,OFF-AP-10002518,Becky Martin,indonesia,jakarta,Region B,33,menikah,Mandiri Deposit,196," 57,093,999 ",111271891,3,1,1
9/8/2011,Standard Class,TEC-PH-10003931,Becky Martin,indonesia,jakarta,Region B,50,menikah,Mandiri Deposit,48," 117,670,253 ",166554876,1,1,1
3/21/2011,Standard Class,OFF-AR-10004685,Cassandra Brandow,indonesia,Jambi,Region A,25,single,Mandiri Deposit,134," 178,771,312 ",83083772,1,0,0
3/21/2011,Standard Class,OFF-AR-10004027,Cassandra Brandow,indonesia,Jambi,Region A,34,single,Mandiri Deposit,191," 900,373,319 ",31149979,3,1,2
6/22/2011,Platinum Class,TEC-AC-10004114,Joel Eaton,indonesia,Balikpapan,Region C,55,menikah,Mandiri Deposit,55," 112,572,129 ",34294253,0,1,0
8/27/2011,Gold Class,OFF-AR-10003056,Zuschuss Donatelli,indonesia,Balikpapan,Region C,57,menikah,Mandiri Deposit,9," 149,467,142 ",8072210,3,0,1
8/27/2011,Gold Class,TEC-PH-10001949,Zuschuss Donatelli,indonesia,Balikpapan,Region C,59,menikah,Mandiri Deposit,68," 762,758,174 ",93657054,0,0,2
8/27/2011,Gold Class,OFF-BI-10002215,Zuschuss Donatelli,indonesia,Balikpapan,Region C,30,menikah,Mandiri Deposit,153," 907,707,819 ",70883367,1,1,1
11/9/2011,Gold Class,OFF-ST-10002743,Jeremy Pistek,indonesia,Balikpapan,Region C,53,menikah,Mandiri Consumer Loan,79," 589,975,461 ",60551676,0,1,1
11/9/2011,Gold Class,TEC-PH-10002680,Jeremy Pistek,indonesia,Balikpapan,Region C,50,menikah,Mandiri Deposit,77," 794,998,070 ",140857019,0,0,1
